"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"25.10.2005","4,540","4,540","4,540","4,540","2,07%"
"24.10.2005","4,448","4,448","4,448","4,448","1,28%"
"21.10.2005","4,392","4,392","4,392","4,392","-0,97%"
"20.10.2005","4,435","4,435","4,435","4,435","-0,76%"
"19.10.2005","4,469","4,469","4,469","4,469","-0,18%"
"18.10.2005","4,477","4,477","4,477","4,477","-0,49%"
"17.10.2005","4,499","4,499","4,499","4,499","0,40%"
"14.10.2005","4,481","4,481","4,481","4,481","0,31%"
"13.10.2005","4,467","4,467","4,467","4,467","0,49%"
"12.10.2005","4,445","4,445","4,445","4,445","1,14%"
"11.10.2005","4,395","4,395","4,395","4,395","0,76%"
"10.10.2005","4,362","4,362","4,362","4,362","0,00%"
"07.10.2005","4,362","4,362","4,362","4,362","-0,75%"
"06.10.2005","4,395","4,395","4,395","4,395","1,13%"
"05.10.2005","4,346","4,346","4,346","4,346","-0,57%"
"04.10.2005","4,371","4,371","4,371","4,371","-0,36%"
"03.10.2005","4,387","4,387","4,387","4,387","1,27%"
"30.09.2005","4,332","4,332","4,332","4,332","0,65%"
"29.09.2005","4,304","4,304","4,304","4,304","1,06%"
"28.09.2005","4,259","4,259","4,259","4,259","-0,61%"
"27.09.2005","4,285","4,285","4,285","4,285","-0,26%"
"26.09.2005","4,296","4,296","4,296","4,296","1,06%"
"23.09.2005","4,251","4,251","4,251","4,251","1,53%"
"22.09.2005","4,187","4,187","4,187","4,187","0,41%"
"21.09.2005","4,170","4,170","4,170","4,170","-1,74%"
"20.09.2005","4,244","4,244","4,244","4,244","-0,21%"
"19.09.2005","4,253","4,253","4,253","4,253","-0,61%"
"16.09.2005","4,279","4,279","4,279","4,279","1,47%"
"15.09.2005","4,217","4,217","4,217","4,217","1,13%"
"14.09.2005","4,170","4,170","4,170","4,170","0,90%"
"13.09.2005","4,133","4,133","4,133","4,133","-1,03%"
"12.09.2005","4,176","4,176","4,176","4,176","1,26%"
"09.09.2005","4,124","4,124","4,124","4,124","-0,55%"
"08.09.2005","4,147","4,147","4,147","4,147","0,14%"
"07.09.2005","4,141","4,141","4,141","4,141","0,98%"
"06.09.2005","4,101","4,101","4,101","4,101","1,41%"
"02.09.2005","4,044","4,044","4,044","4,044","0,22%"
"01.09.2005","4,035","4,035","4,035","4,035","0,52%"
"31.08.2005","4,014","4,014","4,014","4,014","-1,95%"
"30.08.2005","4,094","4,094","4,094","4,094","-1,92%"
"29.08.2005","4,174","4,174","4,174","4,174","-0,43%"
"26.08.2005","4,192","4,192","4,192","4,192","0,75%"
"25.08.2005","4,161","4,161","4,161","4,161","-0,24%"
"24.08.2005","4,171","4,171","4,171","4,171","-0,31%"
"23.08.2005","4,184","4,184","4,184","4,184","-0,64%"
"22.08.2005","4,211","4,211","4,211","4,211","0,00%"
"19.08.2005","4,211","4,211","4,211","4,211","0,12%"
"18.08.2005","4,206","4,206","4,206","4,206","-1,57%"
"17.08.2005","4,273","4,273","4,273","4,273","1,42%"
"16.08.2005","4,213","4,213","4,213","4,213","-1,73%"
"15.08.2005","4,287","4,287","4,287","4,287","0,87%"
"12.08.2005","4,250","4,250","4,250","4,250","-1,80%"
"11.08.2005","4,328","4,328","4,328","4,328","-1,55%"
"10.08.2005","4,396","4,396","4,396","4,396","0,09%"
"09.08.2005","4,392","4,392","4,392","4,392","-0,77%"
"08.08.2005","4,426","4,426","4,426","4,426","0,77%"
"05.08.2005","4,392","4,392","4,392","4,392","1,76%"
"04.08.2005","4,316","4,316","4,316","4,316","0,47%"
"03.08.2005","4,296","4,296","4,296","4,296","-1,01%"
"02.08.2005","4,340","4,340","4,340","4,340","0,56%"
"01.08.2005","4,316","4,316","4,316","4,316","0,79%"
"29.07.2005","4,282","4,282","4,282","4,282","2,12%"
"28.07.2005","4,193","4,193","4,193","4,193","-1,62%"
"27.07.2005","4,262","4,262","4,262","4,262","0,80%"
"26.07.2005","4,228","4,228","4,228","4,228","-0,52%"
"25.07.2005","4,250","4,250","4,250","4,250","0,66%"
"22.07.2005","4,222","4,222","4,222","4,222","-1,40%"
"21.07.2005","4,282","4,282","4,282","4,282","2,93%"
"20.07.2005","4,160","4,160","4,160","4,160","-0,60%"
"19.07.2005","4,185","4,185","4,185","4,185","-0,97%"
"18.07.2005","4,226","4,226","4,226","4,226","1,32%"
"15.07.2005","4,171","4,171","4,171","4,171","-0,24%"
"14.07.2005","4,181","4,181","4,181","4,181","0,46%"
"13.07.2005","4,162","4,162","4,162","4,162","0,34%"
"12.07.2005","4,148","4,148","4,148","4,148","1,20%"
"11.07.2005","4,099","4,099","4,099","4,099","0,00%"
"08.07.2005","4,099","4,099","4,099","4,099","0,76%"
"07.07.2005","4,068","4,068","4,068","4,068","-0,15%"
"06.07.2005","4,074","4,074","4,074","4,074","-0,90%"
"05.07.2005","4,111","4,111","4,111","4,111","1,38%"
"01.07.2005","4,055","4,055","4,055","4,055","3,42%"
"30.06.2005","3,921","3,921","3,921","3,921","-1,68%"
"29.06.2005","3,988","3,988","3,988","3,988","0,35%"
"28.06.2005","3,974","3,974","3,974","3,974","1,71%"
"27.06.2005","3,907","3,907","3,907","3,907","-0,46%"
"24.06.2005","3,925","3,925","3,925","3,925","-0,81%"
"23.06.2005","3,957","3,957","3,957","3,957","0,28%"
"22.06.2005","3,946","3,946","3,946","3,946","-2,50%"
"21.06.2005","4,047","4,047","4,047","4,047","-1,70%"
"20.06.2005","4,117","4,117","4,117","4,117","1,01%"
"17.06.2005","4,076","4,076","4,076","4,076","0,12%"
"16.06.2005","4,071","4,071","4,071","4,071","-0,97%"
"15.06.2005","4,111","4,111","4,111","4,111","-0,05%"
"14.06.2005","4,113","4,113","4,113","4,113","0,46%"
"13.06.2005","4,094","4,094","4,094","4,094","0,96%"
"10.06.2005","4,055","4,055","4,055","4,055","2,61%"
"09.06.2005","3,952","3,952","3,952","3,952","0,33%"
"08.06.2005","3,939","3,939","3,939","3,939","0,82%"
"07.06.2005","3,907","3,907","3,907","3,907","-1,24%"
"06.06.2005","3,956","3,956","3,956","3,956","-0,63%"
"03.06.2005","3,981","3,981","3,981","3,981","1,74%"
"02.06.2005","3,913","3,913","3,913","3,913","0,59%"
"01.06.2005","3,890","3,890","3,890","3,890","-2,43%"
"31.05.2005","3,987","3,987","3,987","3,987","-2,06%"
"27.05.2005","4,071","4,071","4,071","4,071","-0,32%"
"26.05.2005","4,084","4,084","4,084","4,084","-0,15%"
"25.05.2005","4,090","4,090","4,090","4,090","1,46%"
"24.05.2005","4,031","4,031","4,031","4,031","-0,76%"
"23.05.2005","4,062","4,062","4,062","4,062","-1,57%"
"20.05.2005","4,127","4,127","4,127","4,127","0,19%"
"19.05.2005","4,119","4,119","4,119","4,119","0,61%"
"18.05.2005","4,094","4,094","4,094","4,094","-0,66%"
"17.05.2005","4,121","4,121","4,121","4,121","-0,34%"
"16.05.2005","4,135","4,135","4,135","4,135","0,34%"
"13.05.2005","4,121","4,121","4,121","4,121","-1,32%"
"12.05.2005","4,176","4,176","4,176","4,176","-0,71%"
"11.05.2005","4,206","4,206","4,206","4,206","0,05%"
"10.05.2005","4,204","4,204","4,204","4,204","-1,96%"
"09.05.2005","4,288","4,288","4,288","4,288","0,56%"
"06.05.2005","4,264","4,264","4,264","4,264","2,55%"
"05.05.2005","4,158","4,158","4,158","4,158","-0,81%"
"04.05.2005","4,192","4,192","4,192","4,192","0,53%"
"03.05.2005","4,170","4,170","4,170","4,170","-0,57%"
"02.05.2005","4,194","4,194","4,194","4,194","-0,14%"
"29.04.2005","4,200","4,200","4,200","4,200","1,25%"
"28.04.2005","4,148","4,148","4,148","4,148","-1,92%"
"27.04.2005","4,229","4,229","4,229","4,229","-0,98%"
"26.04.2005","4,271","4,271","4,271","4,271","0,38%"
"25.04.2005","4,255","4,255","4,255","4,255","0,09%"
"22.04.2005","4,251","4,251","4,251","4,251","-1,19%"
"21.04.2005","4,302","4,302","4,302","4,302","2,65%"
"20.04.2005","4,191","4,191","4,191","4,191","-0,62%"
"19.04.2005","4,217","4,217","4,217","4,217","-1,33%"
"18.04.2005","4,274","4,274","4,274","4,274","0,64%"
"15.04.2005","4,247","4,247","4,247","4,247","-1,55%"
"14.04.2005","4,314","4,314","4,314","4,314","-1,19%"
"13.04.2005","4,366","4,366","4,366","4,366","0,18%"
"12.04.2005","4,358","4,358","4,358","4,358","-1,80%"
"11.04.2005","4,438","4,438","4,438","4,438","-0,80%"
"08.04.2005","4,474","4,474","4,474","4,474","-0,31%"
"07.04.2005","4,488","4,488","4,488","4,488","1,40%"
"06.04.2005","4,426","4,426","4,426","4,426","-1,03%"
"05.04.2005","4,472","4,472","4,472","4,472","0,22%"
"04.04.2005","4,462","4,462","4,462","4,462","0,25%"
"01.04.2005","4,451","4,451","4,451","4,451","-0,82%"
"31.03.2005","4,488","4,488","4,488","4,488","-1,41%"
"30.03.2005","4,552","4,552","4,552","4,552","-0,63%"
"29.03.2005","4,581","4,581","4,581","4,581","-1,36%"
"28.03.2005","4,644","4,644","4,644","4,644","0,98%"
"24.03.2005","4,599","4,599","4,599","4,599","0,24%"
"23.03.2005","4,588","4,588","4,588","4,588","-1,27%"
"22.03.2005","4,647","4,647","4,647","4,647","2,65%"
"21.03.2005","4,527","4,527","4,527","4,527","0,35%"
"18.03.2005","4,511","4,511","4,511","4,511","0,96%"
"17.03.2005","4,468","4,468","4,468","4,468","-0,89%"
"16.03.2005","4,508","4,508","4,508","4,508","-0,94%"
"15.03.2005","4,551","4,551","4,551","4,551","0,82%"
"14.03.2005","4,514","4,514","4,514","4,514","-0,70%"
"11.03.2005","4,546","4,546","4,546","4,546","1,72%"
"10.03.2005","4,469","4,469","4,469","4,469","-1,30%"
"09.03.2005","4,528","4,528","4,528","4,528","2,98%"
"08.03.2005","4,397","4,397","4,397","4,397","1,92%"
"07.03.2005","4,314","4,314","4,314","4,314","-0,02%"
"04.03.2005","4,315","4,315","4,315","4,315","-1,55%"
"03.03.2005","4,383","4,383","4,383","4,383","0,05%"
"02.03.2005","4,381","4,381","4,381","4,381","0,23%"
"01.03.2005","4,371","4,371","4,371","4,371","-0,23%"
"28.02.2005","4,381","4,381","4,381","4,381","2,60%"
"25.02.2005","4,270","4,270","4,270","4,270","-0,44%"
"24.02.2005","4,289","4,289","4,289","4,289","0,42%"
"23.02.2005","4,271","4,271","4,271","4,271","-0,47%"
"22.02.2005","4,291","4,291","4,291","4,291","0,63%"
"18.02.2005","4,264","4,264","4,264","4,264","1,89%"
"17.02.2005","4,185","4,185","4,185","4,185","0,60%"
"16.02.2005","4,160","4,160","4,160","4,160","1,41%"
"15.02.2005","4,102","4,102","4,102","4,102","0,61%"
"14.02.2005","4,077","4,077","4,077","4,077","-0,37%"
"11.02.2005","4,092","4,092","4,092","4,092","0,02%"
"10.02.2005","4,091","4,091","4,091","4,091","2,63%"
"09.02.2005","3,986","3,986","3,986","3,986","-0,92%"
"08.02.2005","4,023","4,023","4,023","4,023","-0,81%"
"07.02.2005","4,056","4,056","4,056","4,056","-0,66%"
"04.02.2005","4,083","4,083","4,083","4,083","-2,06%"
"03.02.2005","4,169","4,169","4,169","4,169","0,58%"
"02.02.2005","4,145","4,145","4,145","4,145","0,02%"
"01.02.2005","4,144","4,144","4,144","4,144","0,29%"
"31.01.2005","4,132","4,132","4,132","4,132","-0,34%"
"28.01.2005","4,146","4,146","4,146","4,146","-1,94%"
"27.01.2005","4,228","4,228","4,228","4,228","0,67%"
"26.01.2005","4,200","4,200","4,200","4,200","0,00%"
"25.01.2005","4,200","4,200","4,200","4,200","1,84%"
"24.01.2005","4,124","4,124","4,124","4,124","-0,48%"
"21.01.2005","4,144","4,144","4,144","4,144","-0,65%"
"20.01.2005","4,171","4,171","4,171","4,171","-0,10%"
"19.01.2005","4,175","4,175","4,175","4,175","-0,43%"
"18.01.2005","4,193","4,193","4,193","4,193","-0,64%"
"14.01.2005","4,220","4,220","4,220","4,220","1,27%"
"13.01.2005","4,167","4,167","4,167","4,167","-1,68%"
"12.01.2005","4,238","4,238","4,238","4,238","-0,14%"
"11.01.2005","4,244","4,244","4,244","4,244","-0,68%"
"10.01.2005","4,273","4,273","4,273","4,273","-0,05%"
"07.01.2005","4,275","4,275","4,275","4,275","0,28%"
"06.01.2005","4,263","4,263","4,263","4,263","-0,56%"
"05.01.2005","4,287","4,287","4,287","4,287","-0,19%"
"04.01.2005","4,295","4,295","4,295","4,295","1,87%"
"03.01.2005","4,216","4,216","4,216","4,216","-0,14%"
"31.12.2004","4,222","4,222","4,222","4,222","-0,87%"
"30.12.2004","4,259","4,259","4,259","4,259","-1,50%"
"29.12.2004","4,324","4,324","4,324","4,324","0,65%"
"28.12.2004","4,296","4,296","4,296","4,296","-0,14%"
"27.12.2004","4,302","4,302","4,302","4,302","1,99%"
"23.12.2004","4,218","4,218","4,218","4,218","0,40%"
"22.12.2004","4,201","4,201","4,201","4,201","0,79%"
"21.12.2004","4,168","4,168","4,168","4,168","-0,41%"
"20.12.2004","4,185","4,185","4,185","4,185","-0,43%"
"17.12.2004","4,203","4,203","4,203","4,203","0,38%"
"16.12.2004","4,187","4,187","4,187","4,187","2,67%"
"15.12.2004","4,078","4,078","4,078","4,078","-1,21%"
"14.12.2004","4,128","4,128","4,128","4,128","-0,60%"
"13.12.2004","4,153","4,153","4,153","4,153","-0,05%"
"10.12.2004","4,155","4,155","4,155","4,155","-0,50%"
"09.12.2004","4,176","4,176","4,176","4,176","1,36%"
"08.12.2004","4,120","4,120","4,120","4,120","-2,51%"
"07.12.2004","4,226","4,226","4,226","4,226","-0,05%"
"06.12.2004","4,228","4,228","4,228","4,228","-0,66%"
"03.12.2004","4,256","4,256","4,256","4,256","-3,62%"
"02.12.2004","4,416","4,416","4,416","4,416","1,08%"
"01.12.2004","4,369","4,369","4,369","4,369","0,32%"
"30.11.2004","4,355","4,355","4,355","4,355","0,76%"
"29.11.2004","4,322","4,322","4,322","4,322","2,08%"
"26.11.2004","4,234","4,234","4,234","4,234","0,74%"
"24.11.2004","4,203","4,203","4,203","4,203","0,36%"
"23.11.2004","4,188","4,188","4,188","4,188","0,10%"
"22.11.2004","4,184","4,184","4,184","4,184","-0,50%"
"19.11.2004","4,205","4,205","4,205","4,205","2,14%"
"18.11.2004","4,117","4,117","4,117","4,117","-0,29%"
"17.11.2004","4,129","4,129","4,129","4,129","-1,90%"
"16.11.2004","4,209","4,209","4,209","4,209","0,41%"
"15.11.2004","4,192","4,192","4,192","4,192","0,14%"
"12.11.2004","4,186","4,186","4,186","4,186","-1,53%"
"11.11.2004","4,251","4,251","4,251","4,251","0,09%"
"10.11.2004","4,247","4,247","4,247","4,247","0,40%"
"09.11.2004","4,230","4,230","4,230","4,230","0,19%"
"08.11.2004","4,222","4,222","4,222","4,222","1,08%"
"05.11.2004","4,177","4,177","4,177","4,177","2,45%"
"04.11.2004","4,077","4,077","4,077","4,077","-0,05%"
"03.11.2004","4,079","4,079","4,079","4,079","0,62%"
"02.11.2004","4,054","4,054","4,054","4,054","-0,44%"
"01.11.2004","4,072","4,072","4,072","4,072","1,07%"
"29.10.2004","4,029","4,029","4,029","4,029","-0,62%"
"28.10.2004","4,054","4,054","4,054","4,054","-0,76%"
"27.10.2004","4,085","4,085","4,085","4,085","2,10%"
"26.10.2004","4,001","4,001","4,001","4,001","0,63%"
"25.10.2004","3,976","3,976","3,976","3,976","-0,05%"
"22.10.2004","3,978","3,978","3,978","3,978","-0,72%"
"21.10.2004","4,007","4,007","4,007","4,007","0,58%"
"20.10.2004","3,984","3,984","3,984","3,984","-1,29%"
"19.10.2004","4,036","4,036","4,036","4,036","-0,22%"
"18.10.2004","4,045","4,045","4,045","4,045","-0,44%"
"15.10.2004","4,063","4,063","4,063","4,063","0,97%"
"14.10.2004","4,024","4,024","4,024","4,024","-0,86%"
"13.10.2004","4,059","4,059","4,059","4,059","-1,07%"
"12.10.2004","4,103","4,103","4,103","4,103","-0,85%"
"11.10.2004","4,138","4,138","4,138","4,138","0,22%"
"08.10.2004","4,129","4,129","4,129","4,129","-2,76%"
"07.10.2004","4,246","4,246","4,246","4,246","0,47%"
"06.10.2004","4,226","4,226","4,226","4,226","1,27%"
"05.10.2004","4,173","4,173","4,173","4,173","0,17%"
"04.10.2004","4,166","4,166","4,166","4,166","-0,55%"
"01.10.2004","4,189","4,189","4,189","4,189","1,60%"
"30.09.2004","4,123","4,123","4,123","4,123","0,81%"
"29.09.2004","4,090","4,090","4,090","4,090","2,10%"
"28.09.2004","4,006","4,006","4,006","4,006","0,28%"
"27.09.2004","3,995","3,995","3,995","3,995","-0,94%"
"24.09.2004","4,033","4,033","4,033","4,033","0,27%"
"23.09.2004","4,022","4,022","4,022","4,022","0,95%"
"22.09.2004","3,984","3,984","3,984","3,984","-1,56%"
"21.09.2004","4,047","4,047","4,047","4,047","-0,32%"
"20.09.2004","4,060","4,060","4,060","4,060","-1,26%"
"17.09.2004","4,112","4,112","4,112","4,112","0,83%"
"16.09.2004","4,078","4,078","4,078","4,078","-2,11%"
"15.09.2004","4,166","4,166","4,166","4,166","0,92%"
"14.09.2004","4,128","4,128","4,128","4,128","-0,31%"
"13.09.2004","4,141","4,141","4,141","4,141","-1,15%"
"10.09.2004","4,189","4,189","4,189","4,189","-0,19%"
"09.09.2004","4,197","4,197","4,197","4,197","0,79%"
"08.09.2004","4,164","4,164","4,164","4,164","-1,79%"
"07.09.2004","4,240","4,240","4,240","4,240","-1,23%"
"06.09.2004","4,293","4,293","4,293","4,293","0,09%"
"03.09.2004","4,289","4,289","4,289","4,289","1,71%"
"02.09.2004","4,217","4,217","4,217","4,217","2,43%"
"01.09.2004","4,117","4,117","4,117","4,117","-2,90%"
"31.08.2004","4,240","4,240","4,240","4,240","0,21%"
"30.08.2004","4,231","4,231","4,231","4,231","0,93%"
"27.08.2004","4,192","4,192","4,192","4,192","-1,67%"
"26.08.2004","4,263","4,263","4,263","4,263","0,73%"
"25.08.2004","4,232","4,232","4,232","4,232","-0,61%"
"24.08.2004","4,258","4,258","4,258","4,258","-0,49%"
"23.08.2004","4,279","4,279","4,279","4,279","-0,28%"
"20.08.2004","4,291","4,291","4,291","4,291","0,63%"
"19.08.2004","4,264","4,264","4,264","4,264","0,78%"
"18.08.2004","4,231","4,231","4,231","4,231","0,93%"
"17.08.2004","4,192","4,192","4,192","4,192","-1,67%"
"16.08.2004","4,263","4,263","4,263","4,263","0,73%"
"13.08.2004","4,232","4,232","4,232","4,232","-0,61%"
"12.08.2004","4,258","4,258","4,258","4,258","-0,49%"
"11.08.2004","4,279","4,279","4,279","4,279","-0,28%"
"10.08.2004","4,291","4,291","4,291","4,291","0,63%"
"09.08.2004","4,264","4,264","4,264","4,264","0,88%"
"06.08.2004","4,227","4,227","4,227","4,227","-4,02%"
"05.08.2004","4,404","4,404","4,404","4,404","-0,43%"
"04.08.2004","4,423","4,423","4,423","4,423","-0,14%"
"03.08.2004","4,429","4,429","4,429","4,429","-0,54%"
"02.08.2004","4,453","4,453","4,453","4,453","-0,85%"
"30.07.2004","4,491","4,491","4,491","4,491","-1,92%"
"29.07.2004","4,579","4,579","4,579","4,579","-0,22%"
"28.07.2004","4,589","4,589","4,589","4,589","-0,65%"
"27.07.2004","4,619","4,619","4,619","4,619","2,90%"
"26.07.2004","4,489","4,489","4,489","4,489","1,29%"
"23.07.2004","4,432","4,432","4,432","4,432","-0,45%"
"22.07.2004","4,452","4,452","4,452","4,452","-0,40%"
"21.07.2004","4,470","4,470","4,470","4,470","0,45%"
"20.07.2004","4,450","4,450","4,450","4,450","2,04%"
"19.07.2004","4,361","4,361","4,361","4,361","0,14%"
"16.07.2004","4,355","4,355","4,355","4,355","-2,88%"
"15.07.2004","4,484","4,484","4,484","4,484","-0,04%"
"14.07.2004","4,486","4,486","4,486","4,486","0,31%"
"13.07.2004","4,472","4,472","4,472","4,472","0,52%"
"12.07.2004","4,449","4,449","4,449","4,449","-0,25%"
"09.07.2004","4,460","4,460","4,460","4,460","-0,36%"
"08.07.2004","4,476","4,476","4,476","4,476","-0,04%"
"07.07.2004","4,478","4,478","4,478","4,478","0,04%"
"06.07.2004","4,476","4,476","4,476","4,476","0,36%"
"02.07.2004","4,460","4,460","4,460","4,460","-2,39%"
"01.07.2004","4,569","4,569","4,569","4,569","-0,31%"
"30.06.2004","4,583","4,583","4,583","4,583","-2,26%"
"29.06.2004","4,689","4,689","4,689","4,689","-1,01%"
"28.06.2004","4,737","4,737","4,737","4,737","1,83%"
"25.06.2004","4,652","4,652","4,652","4,652","-0,04%"
"24.06.2004","4,654","4,654","4,654","4,654","-0,98%"
"23.06.2004","4,700","4,700","4,700","4,700","-0,44%"
"22.06.2004","4,721","4,721","4,721","4,721","0,75%"
"21.06.2004","4,686","4,686","4,686","4,686","-0,68%"
"18.06.2004","4,718","4,718","4,718","4,718","0,73%"
"17.06.2004","4,684","4,684","4,684","4,684","-0,85%"
"16.06.2004","4,724","4,724","4,724","4,724","0,85%"
"15.06.2004","4,684","4,684","4,684","4,684","-3,94%"
"14.06.2004","4,876","4,876","4,876","4,876","1,56%"
"10.06.2004","4,801","4,801","4,801","4,801","-0,15%"
"09.06.2004","4,808","4,808","4,808","4,808","0,84%"
"08.06.2004","4,768","4,768","4,768","4,768","0,10%"
"07.06.2004","4,763","4,763","4,763","4,763","-0,23%"
"04.06.2004","4,774","4,774","4,774","4,774","1,10%"
"03.06.2004","4,722","4,722","4,722","4,722","-0,59%"
"02.06.2004","4,750","4,750","4,750","4,750","1,00%"
"01.06.2004","4,703","4,703","4,703","4,703","0,81%"
"28.05.2004","4,665","4,665","4,665","4,665","1,24%"
"27.05.2004","4,608","4,608","4,608","4,608","-1,22%"
"26.05.2004","4,665","4,665","4,665","4,665","-1,33%"
"25.05.2004","4,728","4,728","4,728","4,728","-0,13%"
"24.05.2004","4,734","4,734","4,734","4,734","-0,55%"
"21.05.2004","4,760","4,760","4,760","4,760","1,10%"
"20.05.2004","4,708","4,708","4,708","4,708","-1,42%"
"19.05.2004","4,776","4,776","4,776","4,776","0,93%"
"18.05.2004","4,732","4,732","4,732","4,732","0,79%"
"17.05.2004","4,695","4,695","4,695","4,695","-1,61%"
"14.05.2004","4,772","4,772","4,772","4,772","-1,89%"
"13.05.2004","4,864","4,864","4,864","4,864","0,87%"
"12.05.2004","4,822","4,822","4,822","4,822","1,56%"
"11.05.2004","4,748","4,748","4,748","4,748","-1,10%"
"10.05.2004","4,801","4,801","4,801","4,801","0,54%"
"07.05.2004","4,775","4,775","4,775","4,775","3,76%"
"06.05.2004","4,602","4,602","4,602","4,602","0,31%"
"05.05.2004","4,588","4,588","4,588","4,588","0,46%"
"04.05.2004","4,567","4,567","4,567","4,567","1,44%"
"03.05.2004","4,502","4,502","4,502","4,502","-0,18%"
"30.04.2004","4,510","4,510","4,510","4,510","-0,66%"
"29.04.2004","4,540","4,540","4,540","4,540","0,84%"
"28.04.2004","4,502","4,502","4,502","4,502","2,67%"
"27.04.2004","4,385","4,385","4,385","4,385","-1,42%"
"26.04.2004","4,448","4,448","4,448","4,448","-0,45%"
"23.04.2004","4,468","4,468","4,468","4,468","1,85%"
"22.04.2004","4,387","4,387","4,387","4,387","-0,99%"
"21.04.2004","4,431","4,431","4,431","4,431","-0,81%"
"20.04.2004","4,467","4,467","4,467","4,467","1,85%"
"19.04.2004","4,386","4,386","4,386","4,386","0,97%"
"16.04.2004","4,344","4,344","4,344","4,344","-1,27%"
"15.04.2004","4,400","4,400","4,400","4,400","0,78%"
"14.04.2004","4,366","4,366","4,366","4,366","0,28%"
"13.04.2004","4,354","4,354","4,354","4,354","2,93%"
"12.04.2004","4,230","4,230","4,230","4,230","0,88%"
"08.04.2004","4,193","4,193","4,193","4,193","0,67%"
"07.04.2004","4,165","4,165","4,165","4,165","0,39%"
"06.04.2004","4,149","4,149","4,149","4,149","-1,59%"
"05.04.2004","4,216","4,216","4,216","4,216","1,71%"
"02.04.2004","4,145","4,145","4,145","4,145","6,56%"
"01.04.2004","3,890","3,890","3,890","3,890","1,38%"
"31.03.2004","3,837","3,837","3,837","3,837","-1,51%"
"30.03.2004","3,896","3,896","3,896","3,896","0,10%"
"29.03.2004","3,892","3,892","3,892","3,892","1,43%"
"26.03.2004","3,837","3,837","3,837","3,837","2,51%"
"25.03.2004","3,743","3,743","3,743","3,743","0,81%"
"24.03.2004","3,713","3,713","3,713","3,713","0,51%"
"23.03.2004","3,694","3,694","3,694","3,694","-0,81%"
"22.03.2004","3,724","3,724","3,724","3,724","-1,30%"
"19.03.2004","3,773","3,773","3,773","3,773","0,56%"
"18.03.2004","3,752","3,752","3,752","3,752","0,94%"
"17.03.2004","3,717","3,717","3,717","3,717","0,92%"
"16.03.2004","3,683","3,683","3,683","3,683","-2,20%"
"15.03.2004","3,766","3,766","3,766","3,766","-0,55%"
"12.03.2004","3,787","3,787","3,787","3,787","2,02%"
"11.03.2004","3,712","3,712","3,712","3,712","-0,51%"
"10.03.2004","3,731","3,731","3,731","3,731","0,16%"
"09.03.2004","3,725","3,725","3,725","3,725","-1,19%"
"08.03.2004","3,770","3,770","3,770","3,770","-2,20%"
"05.03.2004","3,855","3,855","3,855","3,855","-4,18%"
"04.03.2004","4,023","4,023","4,023","4,023","-0,76%"
"03.03.2004","4,054","4,054","4,054","4,054","-0,05%"
"02.03.2004","4,056","4,056","4,056","4,056","2,04%"
"01.03.2004","3,975","3,975","3,975","3,975","0,08%"
"27.02.2004","3,972","3,972","3,972","3,972","-1,68%"
"26.02.2004","4,040","4,040","4,040","4,040","0,62%"
"25.02.2004","4,015","4,015","4,015","4,015","-0,40%"
"24.02.2004","4,031","4,031","4,031","4,031","-0,20%"
"23.02.2004","4,039","4,039","4,039","4,039","-1,63%"
"20.02.2004","4,106","4,106","4,106","4,106","1,73%"
"19.02.2004","4,036","4,036","4,036","4,036","-0,54%"
"18.02.2004","4,058","4,058","4,058","4,058","0,45%"
"17.02.2004","4,040","4,040","4,040","4,040","-0,32%"
"16.02.2004","4,053","4,053","4,053","4,053","0,00%"
"13.02.2004","4,053","4,053","4,053","4,053","-0,54%"
"12.02.2004","4,075","4,075","4,075","4,075","1,14%"
"11.02.2004","4,029","4,029","4,029","4,029","-2,11%"
"10.02.2004","4,116","4,116","4,116","4,116","1,38%"
"09.02.2004","4,060","4,060","4,060","4,060","-0,51%"
"06.02.2004","4,081","4,081","4,081","4,081","-2,11%"
"05.02.2004","4,169","4,169","4,169","4,169","1,19%"
"04.02.2004","4,120","4,120","4,120","4,120","0,51%"
"03.02.2004","4,099","4,099","4,099","4,099","-1,16%"
"02.02.2004","4,147","4,147","4,147","4,147","0,31%"
"30.01.2004","4,134","4,134","4,134","4,134","-1,17%"
"29.01.2004","4,183","4,183","4,183","4,183","-0,21%"
"28.01.2004","4,192","4,192","4,192","4,192","2,57%"
"27.01.2004","4,087","4,087","4,087","4,087","-1,11%"
"26.01.2004","4,133","4,133","4,133","4,133","1,05%"
"23.01.2004","4,090","4,090","4,090","4,090","3,13%"
"22.01.2004","3,966","3,966","3,966","3,966","-1,44%"
"21.01.2004","4,024","4,024","4,024","4,024","-0,96%"
"20.01.2004","4,063","4,063","4,063","4,063","0,84%"
"16.01.2004","4,029","4,029","4,029","4,029","1,38%"
"15.01.2004","3,974","3,974","3,974","3,974","-0,55%"
"14.01.2004","3,996","3,996","3,996","3,996","-0,47%"
"13.01.2004","4,015","4,015","4,015","4,015","-1,83%"
"12.01.2004","4,090","4,090","4,090","4,090","0,15%"
"09.01.2004","4,084","4,084","4,084","4,084","-4,33%"
"08.01.2004","4,269","4,269","4,269","4,269","0,57%"
"07.01.2004","4,245","4,245","4,245","4,245","-0,68%"
"06.01.2004","4,274","4,274","4,274","4,274","-2,42%"
